Name:

Date:

Period:

                    State Capitals Quiz (Form 18)


1.)  What is the capital of Colorado?
A.  Trenton
B.  Denver
C.  Raleigh
D.  Indianapolis

2.)  What is the capital of California?
A.  Indianapolis
B.  Jackson
C.  Madison
D.  Sacramento

3.)  What is the capital of North Dakota?
A.  Raleigh
B.  Pierre
C.  Austin
D.  Bismarck

4.)  What is the capital of West Virginia?
A.  Charleston
B.  Austin
C.  Frankfort
D.  Jefferson City

5.)  What is the capital of New York?
A.  Denver
B.  Albany
C.  Saint Paul
D.  Augusta

6.)  What is the capital of Tennessee?
A.  Nashville
B.  Raleigh
C.  Springfield
D.  Baton Rouge

7.)  What is the capital of Alabama?
A.  Sacramento
B.  Montgomery
C.  Bismarck
D.  Helena

8.)  What is the capital of Georgia?
A.  Frankfort
B.  Salem
C.  Atlanta
D.  Trenton

9.)  What is the capital of Hawaii?
A.  Carson City
B.  Providence
C.  Nashville
D.  Honolulu

10.)  What is the capital of Nevada?
A.  Little Rock
B.  Providence
C.  Oklahoma City
D.  Carson City

11.)  What is the capital of Indiana?
A.  Indianapolis
B.  Oklahoma City
C.  Cheyenne
D.  Helena

12.)  What is the capital of Washington?
A.  Olympia
B.  Topeka
C.  Jefferson City
D.  Columbia

13.)  What is the capital of Nebraska?
A.  Jackson
B.  Lincoln
C.  Austin
D.  Concord

14.)  What is the capital of Florida?
A.  Indianapolis
B.  Tallahassee
C.  Dover
D.  Trenton

15.)  What is the capital of Montana?
A.  Des Moines
B.  Helena
C.  Olympia
D.  Springfield

16.)  What is the capital of Maine?
A.  Honolulu
B.  Augusta
C.  Austin
D.  Oklahoma City

17.)  What is the capital of Virginia?
A.  Richmond
B.  Harrisburg
C.  Carson City
D.  Topeka

18.)  What is the capital of South Dakota?
A.  Lincoln
B.  Pierre
C.  Helena
D.  Dover

19.)  What is the capital of Wyoming?
A.  Juneau
B.  Sacramento
C.  Salt Lake City
D.  Cheyenne

20.)  What is the capital of Delaware?
A.  Augusta
B.  Santa Fe
C.  Dover
D.  Columbia

21.)  What is the capital of Illinois?
A.  Topeka
B.  Pierre
C.  Springfield
D.  Frankfort

22.)  What is the capital of South Carolina?
A.  Columbus
B.  Columbia
C.  Saint Paul
D.  Augusta

23.)  What is the capital of Connecticut?
A.  Topeka
B.  Nashville
C.  Hartford
D.  Tallahassee

24.)  What is the capital of Vermont?
A.  Columbus
B.  Raleigh
C.  Trenton
D.  Montpelier

25.)  What is the capital of Wisconsin?
A.  Frankfort
B.  Pierre
C.  Augusta
D.  Madison

26.)  What is the capital of Michigan?
A.  Honolulu
B.  Augusta
C.  Saint Paul
D.  Lansing

27.)  What is the capital of Maryland?
A.  Frankfort
B.  Lincoln
C.  Annapolis
D.  Phoenix

28.)  What is the capital of New Mexico?
A.  Indianapolis
B.  Columbia
C.  Santa Fe
D.  Salt Lake City

29.)  What is the capital of Ohio?
A.  Richmond
B.  Columbus
C.  Jackson
D.  Juneau

30.)  What is the capital of Kansas?
A.  Madison
B.  Austin
C.  Carson City
D.  Topeka

31.)  What is the capital of Missouri?
A.  Jefferson City
B.  Nashville
C.  Santa Fe
D.  Columbia

32.)  What is the capital of Oregon?
A.  Austin
B.  Salem
C.  Nashville
D.  Richmond

33.)  What is the capital of Louisiana?
A.  Hartford
B.  Lansing
C.  Baton Rouge
D.  Jefferson City

34.)  What is the capital of Oklahoma?
A.  Sacramento
B.  Oklahoma City
C.  Olympia
D.  Trenton

35.)  What is the capital of Idaho?
A.  Frankfort
B.  Honolulu
C.  Albany
D.  Boise

36.)  What is the capital of New Jersey?
A.  Trenton
B.  Nashville
C.  Honolulu
D.  Bismarck

37.)  What is the capital of Iowa?
A.  Saint Paul
B.  Columbus
C.  Indianapolis
D.  Des Moines

38.)  What is the capital of Arkansas?
A.  Honolulu
B.  Carson City
C.  Little Rock
D.  Cheyenne

39.)  What is the capital of New Hampshire?
A.  Lincoln
B.  Pierre
C.  Juneau
D.  Concord

40.)  What is the capital of Utah?
A.  Des Moines
B.  Salt Lake City
C.  Albany
D.  Sacramento

41.)  What is the capital of Pennsylvania?
A.  Helena
B.  Harrisburg
C.  Des Moines
D.  Boise

42.)  What is the capital of Massachusetts?
A.  Charleston
B.  Sacramento
C.  Olympia
D.  Boston

43.)  What is the capital of Arizona?
A.  Phoenix
B.  Augusta
C.  Salem
D.  Bismarck

44.)  What is the capital of Kentucky?
A.  Hartford
B.  Lincoln
C.  Denver
D.  Frankfort

45.)  What is the capital of Minnesota?
A.  Augusta
B.  Columbia
C.  Saint Paul
D.  Madison

46.)  What is the capital of Rhode Island?
A.  Providence
B.  Montpelier
C.  Topeka
D.  Raleigh

47.)  What is the capital of Mississippi?
A.  Jackson
B.  Columbia
C.  Honolulu
D.  Lincoln

48.)  What is the capital of Texas?
A.  Providence
B.  Austin
C.  Topeka
D.  Phoenix

49.)  What is the capital of Alaska?
A.  Juneau
B.  Indianapolis
C.  Helena
D.  Oklahoma City

50.)  What is the capital of North Carolina?
A.  Harrisburg
B.  Concord
C.  Raleigh
D.  Phoenix
