Name:

Date:

Period:

                    State Capitals Quiz (Form 31)


1.)  What is the capital of Connecticut?
A.  Hartford
B.  Charleston
C.  Des Moines
D.  Lincoln

2.)  What is the capital of South Dakota?
A.  Salem
B.  Pierre
C.  Jefferson City
D.  Albany

3.)  What is the capital of Michigan?
A.  Albany
B.  Madison
C.  Lansing
D.  Olympia

4.)  What is the capital of California?
A.  Salem
B.  Frankfort
C.  Sacramento
D.  Salt Lake City

5.)  What is the capital of Indiana?
A.  Indianapolis
B.  Albany
C.  Harrisburg
D.  Columbia

6.)  What is the capital of New Jersey?
A.  Trenton
B.  Atlanta
C.  Saint Paul
D.  Boise

7.)  What is the capital of Tennessee?
A.  Nashville
B.  Madison
C.  Annapolis
D.  Jefferson City

8.)  What is the capital of Alabama?
A.  Lincoln
B.  Boise
C.  Augusta
D.  Montgomery

9.)  What is the capital of Massachusetts?
A.  Albany
B.  Columbus
C.  Saint Paul
D.  Boston

10.)  What is the capital of Louisiana?
A.  Springfield
B.  Baton Rouge
C.  Richmond
D.  Nashville

11.)  What is the capital of Kentucky?
A.  Indianapolis
B.  Denver
C.  Frankfort
D.  Dover

12.)  What is the capital of Missouri?
A.  Helena
B.  Salt Lake City
C.  Jefferson City
D.  Honolulu

13.)  What is the capital of Idaho?
A.  Concord
B.  Boise
C.  Bismarck
D.  Madison

14.)  What is the capital of Oklahoma?
A.  Trenton
B.  Cheyenne
C.  Hartford
D.  Oklahoma City

15.)  What is the capital of Wisconsin?
A.  Denver
B.  Tallahassee
C.  Madison
D.  Providence

16.)  What is the capital of Ohio?
A.  Topeka
B.  Columbus
C.  Madison
D.  Concord

17.)  What is the capital of Alaska?
A.  Concord
B.  Madison
C.  Dover
D.  Juneau

18.)  What is the capital of North Dakota?
A.  Bismarck
B.  Juneau
C.  Charleston
D.  Baton Rouge

19.)  What is the capital of Oregon?
A.  Atlanta
B.  Salem
C.  Honolulu
D.  Hartford

20.)  What is the capital of Washington?
A.  Frankfort
B.  Boise
C.  Charleston
D.  Olympia

21.)  What is the capital of Kansas?
A.  Pierre
B.  Topeka
C.  Madison
D.  Santa Fe

22.)  What is the capital of Georgia?
A.  Concord
B.  Baton Rouge
C.  Oklahoma City
D.  Atlanta

23.)  What is the capital of Florida?
A.  Carson City
B.  Tallahassee
C.  Phoenix
D.  Providence

24.)  What is the capital of Minnesota?
A.  Honolulu
B.  Saint Paul
C.  Montpelier
D.  Annapolis

25.)  What is the capital of Iowa?
A.  Des Moines
B.  Lincoln
C.  Atlanta
D.  Pierre

26.)  What is the capital of New Hampshire?
A.  Atlanta
B.  Concord
C.  Indianapolis
D.  Carson City

27.)  What is the capital of Mississippi?
A.  Albany
B.  Atlanta
C.  Salem
D.  Jackson

28.)  What is the capital of Maryland?
A.  Lansing
B.  Little Rock
C.  Annapolis
D.  Santa Fe

29.)  What is the capital of Pennsylvania?
A.  Harrisburg
B.  Jackson
C.  Cheyenne
D.  Boise

30.)  What is the capital of Illinois?
A.  Dover
B.  Bismarck
C.  Springfield
D.  Atlanta

31.)  What is the capital of Utah?
A.  Columbus
B.  Santa Fe
C.  Boise
D.  Salt Lake City

32.)  What is the capital of Delaware?
A.  Saint Paul
B.  Annapolis
C.  Dover
D.  Topeka

33.)  What is the capital of Hawaii?
A.  Honolulu
B.  Jefferson City
C.  Frankfort
D.  Boise

34.)  What is the capital of South Carolina?
A.  Columbia
B.  Des Moines
C.  Hartford
D.  Saint Paul

35.)  What is the capital of Maine?
A.  Augusta
B.  Columbus
C.  Austin
D.  Santa Fe

36.)  What is the capital of Colorado?
A.  Denver
B.  Concord
C.  Oklahoma City
D.  Albany

37.)  What is the capital of Arkansas?
A.  Raleigh
B.  Trenton
C.  Little Rock
D.  Charleston

38.)  What is the capital of Rhode Island?
A.  Tallahassee
B.  Phoenix
C.  Columbia
D.  Providence

39.)  What is the capital of New York?
A.  Springfield
B.  Albany
C.  Des Moines
D.  Little Rock

40.)  What is the capital of New Mexico?
A.  Santa Fe
B.  Providence
C.  Jackson
D.  Springfield

41.)  What is the capital of North Carolina?
A.  Raleigh
B.  Salem
C.  Montpelier
D.  Boise

42.)  What is the capital of Vermont?
A.  Lincoln
B.  Atlanta
C.  Montpelier
D.  Indianapolis

43.)  What is the capital of Wyoming?
A.  Salt Lake City
B.  Frankfort
C.  Denver
D.  Cheyenne

44.)  What is the capital of Texas?
A.  Richmond
B.  Austin
C.  Frankfort
D.  Hartford

45.)  What is the capital of Arizona?
A.  Baton Rouge
B.  Phoenix
C.  Little Rock
D.  Nashville

46.)  What is the capital of Nevada?
A.  Denver
B.  Baton Rouge
C.  Carson City
D.  Sacramento

47.)  What is the capital of Nebraska?
A.  Frankfort
B.  Atlanta
C.  Lincoln
D.  Salem

48.)  What is the capital of Virginia?
A.  Augusta
B.  Charleston
C.  Pierre
D.  Richmond

49.)  What is the capital of Montana?
A.  Oklahoma City
B.  Salt Lake City
C.  Denver
D.  Helena

50.)  What is the capital of West Virginia?
A.  Boise
B.  Sacramento
C.  Charleston
D.  Dover
